Dutch,English
vindt,finds
brengen,to take
pijn,pain
slecht,bad
geloven,to believe
eruit,out
minuten,minute
school,school
plan,plan
broer,brother
pak,then
jezelf,yourself
hoeveel,how many
kamer,room
betekent,means
spreken,speak
juist,correct
heet,is called
soort,kind
haal,pick
ergens,somewhere
vier,four
gebruiken,to use
ligt,is
blijft,stays
welke,which
proberen,to attempt
dokter,doctor
agent,agent
help,help
later,later
voordat,before
ogen,eyes
vrij,free
klopt,Correct
gaf,gave
foto,Photo
word,word
zodat,so that
dochter,daughter
problemen,issues
plek,place
water,water
kent,kent
week,week
beginnen,to start
praat,talk
eerder,earlier
lk,lk
mis,which
handen,hands
deur,by
baby,baby
bellen,to call
boven,upper
groot,big
echte,real
hoeft,needs
ie,ie
doden,kill
stoppen,fuses
moeilijk,difficult
dr,dr
sinds,since
land,land
spelen,to play
zoveel,so much
hetzelfde,the same
mevrouw,Madam
snap,snap
breng,bring
pakken,to take
druk,Busy
verhaal,story
lekker,Tasty
vrouwen,women
schat,Darling
vergeten,forget
gebeuren,to happen
ervan,of it
kreeg,got
waarschijnlijk,probably
hoi,Come on
mogelijk,possibly
mooie,nice
bloed,blood
wees,be
nacht,night
nieuws,news
bed,bed
liet,let
lopen,to walk
gelukkig,happy
waarheid,truth
reden,rode
papa,Boat
hoorde,heard
klinkt,sounds
maanden,months
vermoorden,murder
zorg,concern
dollar,dollar
bezig,busy
voorbij,past
terwijl,while
sta,were
zaken,Affairs
avond,evening
tien,ten
schuld,debt
veilig,safe
redden,to rescue
hart,hart
zult,will
duidelijk,clearly
stel,set
the,the
schiet,shooting
eraan,there
zes,six
begin,begin
gekomen,arrived
vol,vol
vriendin,female friend
rond,round
voelt,feel
baas,boss
moord,murder
ander,other
klein,klein
fijn,fine
jaren,years
mam,I have
lichaam,body
eerlijk,honestly
gezicht,sight
ver,to see
wakker,awake
ouders,parents
zoiets,something like this
leren,to learn
telefoon,telephone
los,the
per,per
mama,mama
nummer,number
fout,wrong
mogen,to be allowed to
meteen,immediately
slapen,to sleep
zeer,very
dezelfde,the same
liefde,love
alstublieft,Please
deel,Share
liggen,lie
erop,on top
